Score,Reading Percentile,Mathematics Percentile,Writing Percentile
800,100,99,100
790,99,99,99
780,99,98,99
770,99,98,99
760,99,97,99
750,98,97,98
740,98,96,98
730,97,96,98
720,97,95,97
710,96,94,96
700,95,93,96
690,94,92,95
680,93,90,94
670,92,89,93
660,91,87,92
650,90,85,90
640,88,83,89
630,87,82,88
620,84,80,86
610,83,78,84
600,81,74,82
590,78,72,80
580,76,70,78
570,73,67,75
560,71,64,73
550,67,62,70
540,64,58,67
530,61,55,64
520,58,52,61
510,55,49,58
500,51,45,55
490,48,42,52
480,44,39,48
470,41,35,44
460,37,32,41
450,34,29,38
440,31,26,34
430,27,23,31
420,25,21,27
410,21,18,24
400,19,16,21
390,16,13,18
380,14,11,16
370,12,10,13
360,10,8,11
350,9,7,9
340,7,6,8
330,6,5,6
320,5,4,5
310,4,3,4
300,3,2,3
290,3,2,3
280,2,2,2
270,2,1,2
260,2,1,1
250,1,1,1
240,1,1,1
230,1,1,1
220,1,-1,1
210,1,-1,1
200,—,—,—
